Name,AB,H,HR,R,RBI,BB,SO,NSB,AVG,OBP,SLG,OPS,wRC+,WAR,PlayerID,Score
Riley Greene,524.123,144.52,16.8637,76.7778,64.3884,51.1312,152.865,7.502960000000001,0.275737,0.342681,0.442551,0.785232,116.008,2.61706,25976,39.84880731145563
Paul Goldschmidt,558.444,148.092,24.0622,87.4482,84.1114,77.0385,145.871,5.15601,0.265186,0.356417,0.448995,0.805412,120.92,2.61682,9218,53.67244741028653
Logan O'Hoppe,401.78,101.632,21.6343,54.7349,62.516,40.6441,95.8618,1.0621099999999999,0.252955,0.329078,0.461199,0.790277,114.457,2.59245,24729,35.54581719567001
Zach Neto,468.341,116.505,17.6369,65.2587,62.4665,39.5208,120.282,6.619820000000001,0.248761,0.326073,0.420248,0.746321,103.999,2.55666,31347,24.323625543787934
Oneil Cruz,505.768,124.954,23.1028,80.2697,71.7669,51.9661,154.291,16.33166,0.247057,0.318963,0.449535,0.768498,104.547,2.5319,21711,36.94936931518752
Isaac Paredes,472.254,114.18,24.0122,66.671,75.9222,58.0292,95.2869,0.5256129999999999,0.241776,0.336071,0.44472,0.780791,113.78,2.52102,20036,38.30776561309246
Max Muncy,457.079,101.972,28.066,78.1137,82.2253,78.7811,138.585,1.161196,0.223094,0.342238,0.455236,0.797475,117.534,2.51135,13301,45.318039561387394
Zack Gelof,523.954,127.855,19.2731,71.8396,61.8677,51.9934,167.816,15.400599999999999,0.244019,0.315862,0.414991,0.730854,105.304,2.46812,29766,24.780357912273814
Christian Yelich,541.334,141.617,17.478,91.0449,67.2345,81.0789,144.671,17.60107,0.261607,0.361033,0.418995,0.780028,113.142,2.45465,11477,45.03983541367232
Nolan Jones,503.544,135.474,23.8049,81.223,78.1668,68.2951,165.679,15.30769,0.269041,0.360054,0.48083,0.840885,111.954,2.45125,20529,60.75745845862785
Evan Carter,487.913,123.723,16.007,73.2566,65.751,67.7352,141.805,13.14977,0.253576,0.3496,0.420943,0.770543,111.295,2.44892,27790,35.85001966004577
Bryson Stott,561.069,149.074,13.1652,75.7711,64.526,44.4395,106.199,18.67671,0.265696,0.321859,0.399245,0.721105,94.8562,2.44273,26294,22.835185088433928
George Springer,519.557,133.667,21.4177,80.4394,69.3486,54.026,109.886,9.8235,0.25727,0.332058,0.434449,0.766507,112.595,2.43951,12856,37.41619582819979
Bo Naylor,369.944,84.9009,15.0143,50.7525,52.6615,51.0564,107.517,4.87057,0.229497,0.32657,0.408754,0.735324,105.568,2.4121,21865,16.288197092987083
Seiya Suzuki,510.803,138.268,21.8002,76.235,75.1513,61.1958,129.737,4.1248000000000005,0.270688,0.350665,0.465508,0.816173,121.666,2.40979,30116,51.01145164696556
Jeremy Peña,548.34,142.84,14.954,74.5458,62.9379,36.4621,128.006,8.31072,0.260495,0.313627,0.399114,0.71274,96.7916,2.39492,21636,17.676388660702045
Jackson Holliday,427.628,110.444,8.66256,61.6443,48.0665,54.6305,106.122,7.30692,0.258272,0.344309,0.38744,0.731749,106.532,2.39389,sa3020241,18.16595728207545
Jake Burger,526.639,131.972,30.0415,71.4101,81.4061,38.0925,156.605,0.616991,0.250592,0.310973,0.47884,0.789813,109.841,2.37727,22275,42.40038407061197
Adolis García,570.378,138.453,32.036,90.1158,94.4749,50.2457,178.743,8.93945,0.24274,0.309177,0.466783,0.775959,107.779,2.37503,19287,44.3871360741816
Jazz Chisholm Jr.,490.812,121.488,24.6915,78.0262,73.1677,43.0623,154.124,21.17478,0.247524,0.312217,0.457484,0.769701,105.282,2.36182,20454,37.47459295481929
Cedric Mullins,510.86,126.468,18.4343,71.642,65.6128,45.5682,114.965,19.40582,0.247559,0.313499,0.419562,0.733061,102.73,2.3557,17929,25.334295260232903
CJ Abrams,562.863,142.513,15.6546,83.6366,62.2084,31.0393,111.913,33.22145,0.253193,0.304593,0.403269,0.707862,89.9211,2.34734,25768,19.753701790860603
Jorge Polanco,473.089,115.478,20.7449,64.9306,68.2333,53.9019,125.354,3.8472899999999997,0.244095,0.32365,0.428296,0.751946,110.979,2.34451,13152,28.776569054063046
Kyle Schwarber,539.409,119.825,40.5429,95.728,96.6243,98.3458,190.131,1.9847,0.222142,0.347179,0.489849,0.837029,124.358,2.33157,16478,67.91167604325331
Alejandro Kirk,314.448,83.7534,9.55398,38.455,41.4778,36.8591,39.7156,-0.075186,0.266351,0.348785,0.407577,0.756363,112.231,2.30493,22581,19.744004933527542
Triston Casas,494.781,126.641,26.9429,76.5239,78.9829,78.4494,137.364,0.831075,0.255953,0.359567,0.477897,0.837465,124.228,2.30478,22514,59.2767443904978
Byron Buxton,398.474,92.9501,24.7372,65.7211,62.7449,38.6147,133.914,7.9043600000000005,0.233265,0.308886,0.485193,0.794079,115.578,2.29933,14161,35.25482671303875
Nolan Gorman,463.537,111.235,27.5818,69.2711,74.782,50.7163,158.856,4.97523,0.239971,0.318543,0.465054,0.783598,111.697,2.29282,22263,39.32664833105323
Steven Kwan,548.267,151.386,4.86455,78.9343,51.8673,58.8787,62.2631,13.37727,0.276117,0.348831,0.373485,0.722316,104.349,2.28477,24610,21.01028719708444
Cody Bellinger,517.437,133.324,22.4347,79.2153,79.6793,46.0445,113.811,12.550529999999998,0.257662,0.318936,0.448291,0.767227,106.156,2.28391,15998,37.23395091959619
James Outman,454.889,105.828,18.7285,71.5865,63.7321,55.372,165.834,9.29469,0.232646,0.326627,0.414426,0.741054,103.538,2.25644,24770,23.85993041445329
Lars Nootbaar,435.504,110.426,17.6596,71.0164,58.0542,67.9052,102.8,6.90255,0.253559,0.354053,0.434621,0.788674,116.681,2.24885,21454,39.42634743806178
Ryan Jeffers,334.887,80.5051,16.4359,45.7358,47.0135,36.0134,105.778,1.338305,0.240395,0.323676,0.439982,0.763658,111.099,2.24158,24618,21.19928536805765
Taylor Ward,462.7,122.843,19.6913,73.08,66.7704,53.9033,110.06,3.3836000000000004,0.265491,0.348411,0.452671,0.801082,119.273,2.22582,17548,43.2239260731518
Brandon Lowe,424.699,100.343,21.9062,63.7167,65.8252,51.2475,126.466,4.66863,0.236269,0.325941,0.446968,0.77291,110.468,2.21887,18882,31.88004106214625
Christian Walker,555.557,140.295,27.9345,80.0845,90.9627,60.8291,127.596,5.21997,0.252529,0.331179,0.461533,0.792712,112.555,2.18034,13419,48.30141175020411
Danny Jansen,315.81,74.5771,18.2076,45.1525,53.7603,30.9028,72.2648,0.29853500000000005,0.236146,0.315154,0.460192,0.775346,112.539,2.16622,16535,23.238762810149172
Vinnie Pasquantino,492.37,134.642,20.1054,68.0693,73.6058,58.7122,70.5564,0.635097,0.273456,0.354956,0.46383,0.818785,123.13,2.1321,27676,49.99016605967278
Daulton Varsho,492.321,114.918,22.4282,69.0223,67.1984,43.5719,126.986,10.68875,0.233421,0.300609,0.426159,0.726768,99.2699,2.1185,19918,21.84537898182465
Chas McCormick,447.046,111.886,18.9473,65.2855,64.523,47.1283,131.629,10.44708,0.250278,0.328738,0.425522,0.75426,108.802,2.10926,19599,28.82916968533971
Davis Schneider,347.093,80.6959,16.5007,49.615,49.8133,47.9502,112.229,3.61721,0.232491,0.332309,0.437465,0.769774,114.083,2.07878,23565,24.21856304099577
Francisco Alvarez,417.445,95.5165,24.0422,57.4871,66.6575,45.5745,122.24,1.2935049999999997,0.228812,0.312671,0.444165,0.756835,105.187,2.06625,26121,26.60250919165624
Tommy Edman,494.051,128.685,12.1726,72.1585,54.035,36.0231,87.8323,21.30091,0.260469,0.316429,0.401647,0.718076,95.6555,2.04954,19470,18.274342124021526
Shea Langeliers,422.704,93.731,20.9138,49.7989,57.2597,34.2809,133.375,1.5941299999999998,0.221742,0.284528,0.426169,0.710698,96.2595,2.03151,25816,9.577072622599552
Jack Suwinski,444.81,101.135,23.9891,65.6324,68.2876,65.2126,159.358,7.4165600000000005,0.227367,0.330782,0.443838,0.77462,107.854,2.02303,22244,35.25567758072559
Elly De La Cruz,512.308,127.593,20.3309,79.2366,68.3382,44.3716,177.524,28.261210000000002,0.249055,0.311143,0.439864,0.751006,95.4185,2.00504,26668,31.72842005154269
Nathaniel Lowe,566.292,152.717,19.7939,79.2685,76.6498,70.5532,146.709,1.316958,0.26968,0.353415,0.433089,0.786505,115.856,2.00332,19566,44.93066333574673
Anthony Santander,551.892,137.153,28.209,75.8612,86.0741,48.3756,132.335,2.034694,0.248515,0.315774,0.45911,0.774885,113.069,1.9731,14551,40.47888125043396
Gavin Lux,401.033,105.023,10.0664,58.516,49.0445,43.8041,91.9868,6.153060000000001,0.261881,0.335228,0.405817,0.741045,103.482,1.95172,19955,19.172936946237574
Brandon Marsh,437.189,111.217,13.4686,59.9766,55.3611,51.413,152.842,10.069320000000001,0.254391,0.335678,0.416608,0.752286,103.786,1.92962,20202,24.870285017528612
Vaughn Grissom,480.113,133.979,9.68119,65.0276,59.0583,41.2687,88.9414,8.406979999999999,0.279056,0.344999,0.407587,0.752586,102.755,1.9147,26031,26.384675470297637
Max Kepler,456.14,112.085,20.1092,67.2749,64.9559,51.5706,101.829,2.39365,0.245725,0.327069,0.437712,0.764781,111.305,1.91426,12144,30.798528552721162
Thairo Estrada,522.395,136.147,14.9015,70.2498,59.2224,32.0469,112.473,16.70884,0.26062,0.315208,0.402435,0.717644,96.0231,1.88892,16426,19.14081645847456
Jordan Westburg,390.28,98.5376,12.4712,51.5531,49.9461,33.9104,106.204,5.1507,0.252479,0.316983,0.414847,0.731831,103.171,1.88585,27815,14.45164762841725
TJ Friedl,483.932,123.203,15.2642,72.7507,59.1957,47.174,92.7379,16.62744,0.254587,0.330103,0.416588,0.746691,97.5368,1.83509,19522,27.240466782468832
Spencer Torkelson,550.206,134.181,29.1835,80.4286,84.2448,64.7788,149.734,1.796056,0.243875,0.328681,0.461442,0.790122,115.775,1.83191,27465,46.576401693512366
Tyler O'Neill,451.074,113.19,22.1368,67.4314,65.7497,46.8868,137.257,9.29721,0.250934,0.326587,0.452719,0.779306,107.411,1.81194,15711,36.33194573966772
Maikel Garcia,471.245,126.157,6.68401,63.1313,49.21,41.4573,106.481,16.268700000000003,0.267711,0.326521,0.375526,0.702046,93.1358,1.8097,22715,11.342035842886261
Luis Rengifo,477.331,122.184,16.8599,64.3621,58.095,37.3183,93.7399,4.74283,0.255973,0.31567,0.41908,0.73475,99.3929,1.80933,19858,21.439700703496722
Eugenio Suárez,519.723,120.481,23.08,69.1106,80.1633,63.0051,177.405,0.5424089999999999,0.231817,0.32274,0.414393,0.737133,100.244,1.79948,12552,26.82685946634208
Keibert Ruiz,469.309,123.52,15.4756,53.9155,60.9501,32.7571,54.6642,1.477315,0.263196,0.317459,0.416465,0.733925,97.7857,1.78309,19610,20.282102149228443
Jeff McNeil,510.366,142.285,8.44989,64.9605,55.0952,36.6414,61.0061,5.00718,0.27879,0.34018,0.394136,0.734316,102.908,1.78196,15362,20.64935044783184
Trevor Story,460.659,109.667,18.2877,65.1752,63.8798,40.0493,146.516,15.03586,0.238066,0.30432,0.419821,0.724141,90.8573,1.77639,12564,18.440371164288912
Teoscar Hernández,512.176,133.688,26.1262,70.6072,83.19,35.1064,160.799,4.59831,0.261019,0.313181,0.470232,0.783413,110.613,1.77242,13066,39.94109132952927
Tyler Stephenson,378.445,97.0993,11.8136,49.458,50.9734,37.7585,103.37,0.32569000000000004,0.256574,0.329392,0.404185,0.733577,94.7045,1.76058,17988,15.235877174180647
Jorge Soler,496.119,120.173,30.9939,73.4519,79.8604,62.9285,144.975,0.7516349999999999,0.242226,0.332577,0.478499,0.811076,119.386,1.75373,14221,50.77008470469342
Yoán Moncada,490.853,121.334,16.8162,61.2231,61.7995,46.0492,150.266,1.7208070000000002,0.247191,0.316125,0.407949,0.724074,97.4846,1.74643,17232,18.108748335268526
Patrick Bailey,371.436,85.4659,9.33476,40.3643,45.1622,32.054,108.46,1.1187049999999998,0.230096,0.295369,0.360642,0.656011,79.3322,1.70579,27478,-10.290770583571966
Josh Lowe,490.411,125.634,17.1987,68.8703,68.6642,42.4765,145.858,21.723529999999997,0.25618,0.316966,0.431741,0.748707,102.501,1.69417,19953,28.586145025030714
Josh Naylor,508.305,141.542,21.0235,64.3126,86.1897,41.551,80.8239,5.7560199999999995,0.278458,0.3359,0.462768,0.798668,118.43,1.68237,18839,45.13429260784753
Salvador Perez,507.047,129.542,24.6067,61.3488,81.0441,21.7499,128.433,-0.06065099999999998,0.255484,0.296566,0.447757,0.744323,98.5213,1.6735,7304,25.93133133954307
Alek Thomas,450.208,116.61,10.301,60.1241,53.0375,30.5107,96.1058,7.199109999999999,0.259013,0.310154,0.400847,0.711002,91.04,1.66102,23792,10.30485407527153
Wilmer Flores,431.372,110.14,18.3276,56.8546,61.99,43.7271,72.2161,-0.04375999999999999,0.255326,0.329459,0.435926,0.765385,108.778,1.65713,5827,29.184138615264423
Alec Bohm,543.293,148.363,16.2512,71.4702,76.5861,40.49,101.575,2.5335799999999997,0.273081,0.325524,0.418849,0.744373,100.484,1.64934,21618,28.165646979603594
Rhys Hoskins,490.3,116.964,26.3585,73.3691,77.4651,67.2793,141.822,1.0988900000000001,0.238555,0.335722,0.459119,0.79484,114.622,1.64391,16472,43.93565247473428
Anthony Rendon,370.765,94.1108,11.2038,50.7143,51.6962,51.0892,71.6277,1.8983189999999999,0.253829,0.351463,0.403239,0.754702,109.151,1.63044,12861,22.49750642871132
Leody Taveras,455.333,116.095,12.2991,60.8455,54.413,35.0652,112.591,10.65493,0.254966,0.309039,0.401208,0.710247,91.8857,1.62365,18900,12.22212191750625
Ryan McMahon,527.027,129.345,21.8391,74.6575,72.5238,61.9994,171.547,3.41928,0.245425,0.326838,0.428198,0.755036,89.304,1.59801,15112,32.46616530867756
Spencer Steer,510.095,130.533,20.0721,71.3317,74.0127,54.4096,123.715,6.6272,0.255899,0.336397,0.439697,0.776094,105.54,1.57072,26323,37.427751135345474
Colt Keith,445.911,114.214,14.5065,56.713,59.678,40.512,111.387,2.156797,0.256135,0.320623,0.421723,0.742346,103.112,1.56277,sa3014474,20.654682412093663
Orlando Arcia,463.83,116.521,16.7546,61.7016,61.4923,39.869,98.8917,1.425684,0.251216,0.312794,0.406239,0.719033,93.0496,1.52157,13185,16.74925904904319
Masataka Yoshida,511.015,148.435,15.6598,70.3242,71.8621,45.4381,73.7608,4.334840000000001,0.29047,0.354194,0.449403,0.803598,115.408,1.5091,31837,45.13760654071355
