Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Oswaldo Cabrera","NYY",48.3255,176.657,159.768,36.6766,24.0636,7.59994,0.311048,4.70202,20.7211,19.242,13.4288,0.176322,41.9815,1.18864,1.15077,1.12072,2.57229,4.21796,1.08086,0.229561,0.076016,0.237644,0.319874,0.292213,0.369314,0.28904,0.661526,0.139753,4.88835,0.2799,-0.157917,0.0907013,17.2209,-4.3038,80.1841,-0.0672155,0.395665,-4.332827597856522,0.5134169459342957,0.218382,738.9299926757812,2.59746,-0.0320667,1.44853,"21707"
"Sean Bouchard","COL",66.551,229.516,200.101,49.8038,29.5667,11.7888,1.14087,7.30739,28.6035,25.7547,24.7615,0.07971,60.6,2.1857,2.12634,0.341323,2.2224,4.3618,1.14604,0.248893,0.107886,0.264034,0.408605,0.334902,0.428766,0.331538,0.763668,0.179873,5.10643,0.316382,-0.314003,-0.0461902,30.4743,2.50916,92.4416,-0.360193,0.209441,-2.5093242824077606,-3.1650571823120117,0.213662,603.72998046875,8.10606,1.09483,1.2883,"21270"
"Dominic Smith",,71.2065,278.693,249.872,63.4683,42.7556,13.1807,0.775266,6.75672,29.7959,30.284,21.8564,0.764652,51.7837,4.56163,2.18147,0.220698,5.00893,0.774259,0.349204,0.254003,0.0784247,0.185809,0.422071,0.322784,0.39408,0.312826,0.716864,0.140077,2.90615,0.293063,-0.39232,-0.519639,32.6728,-1.28429,96.3956,-0.91196,0.620363,-2.1360048055648804,-5.220973372459412,0.211741,734.239990234375,2.57519,-0.807844,1.15218,"15653"
"Nick Senzel","WSN",100.413,381.923,346.405,81.8914,56.6066,15.4343,1.03498,8.81554,44.403,37.484,28.736,0.0459498,77.5704,3.38434,2.32791,1.06994,7.57209,7.6737,2.45982,0.236404,0.0752403,0.203105,0.370451,0.299359,0.363281,0.291138,0.66264,0.126877,4.82466,0.278547,-0.0898578,-0.186793,37.8959,-8.6392,79.9217,-0.276651,-2.35219,-9.776619493961334,-1.1232070922851562,0.21021,420.0199890136719,3.13563,0.641781,0.77307,"19293"
"Matt Mervis","CHC",54.8913,215.628,192.002,45.4523,27.2947,9.66696,0.242653,8.24791,24.9145,27.913,19.2493,0.806954,55.2314,2.89718,1.25604,0.224365,2.76368,0.503309,0.140568,0.236729,0.0892705,0.256142,0.34852,0.313823,0.418477,0.316685,0.7323,0.181748,2.39288,0.286676,-0.185064,-0.333401,25.9705,-0.302568,99.0259,-0.518465,-0.243096,-0.7744177579879761,-4.478534385561943,0.207628,558.3599853515625,5.38377,1.09092,1.16682,"27845"
"David Fry","CLE",40.9874,122.426,110.652,25.921,15.7132,6.16232,0.4646,3.58089,12.905,14.2903,8.59071,0.0367907,29.73,2.2416,0.72455,0.217468,2.20195,1.05985,0.174589,0.234257,0.0701705,0.242841,0.288957,0.300742,0.395431,0.302994,0.696174,0.161174,4.20354,0.286172,-0.136896,-0.0659736,13.3531,-1.56382,93.1665,-0.202869,-0.0822437,-1.2052948623895645,-0.9145093783736229,0.203397,747.780029296875,2.01728,-1.21867,1.66217,"24934"
"Jace Jung","DET",15.1611,60.4843,53.6846,11.9731,7.59395,2.43651,0.0990191,1.84366,6.23813,6.71128,5.85401,0.0973242,16.4308,0.53849,0.315214,0.0920203,0.855201,0.0959326,0.0591378,0.223027,0.0967855,0.271655,0.356281,0.304106,0.375129,0.298194,0.679235,0.152102,2.29095,0.283538,0.017496,-0.112792,6.35596,-1.0137,87.4414,-0.0952956,0.756027,-1.0054550617933273,0.9899938702583313,0.203378,999,3.02857,-1.72439,1.91433,"sa3019992"
"Ali Sánchez","PIT",21.6456,84.3233,77.7385,18.5914,13.2154,4.0964,0.046622,1.23296,7.75382,8.00656,5.92123,0.246868,18.0999,0.316105,0.242863,0.104569,1.53819,0.209112,0.149197,0.239152,0.0702206,0.214649,0.327141,0.294812,0.340627,0.279622,0.635439,0.101475,1.9642,0.295973,-0.0508535,-0.169134,7.56043,-2.71387,71.1931,-0.219987,0.70629,-3.2292630076408386,2.3764752745628357,0.201347,999,3.97195,-0.337659,1.88257,"18551"
"Austin Nola",,29.8777,96.9515,84.9996,19.8066,14.4703,4.03675,0.161665,1.13786,9.46099,8.84156,8.60489,0.0807738,17.9082,1.25737,1.02359,1.06607,2.18336,0.18983,0.0875591,0.23302,0.0887546,0.184713,0.4805,0.30942,0.324475,0.283599,0.633895,0.0914554,2.56862,0.278733,0.0209198,-0.185854,9.01291,-2.80006,75.0266,-0.164934,0,-3.1644509732723236,1.7811487913131714,0.191334,999,0.725002,-1.24559,1.81427,"15941"
"Kyren Paris","LAA",16.7319,62.7481,53.8383,11.9156,7.93211,2.54451,0.101055,1.3379,7.80952,5.54663,7.45661,0.0122316,22.2602,0.942527,0.0889102,0.421848,0.629336,3.38012,0.315516,0.221322,0.118834,0.354755,0.334974,0.325941,0.346889,0.302818,0.67283,0.125567,6.03932,0.348764,-0.310283,0.417112,6.83478,-0.810712,89.0172,0.106829,-0.123365,-0.7189139798283577,0.47912219911813736,0.188679,999,4.80145,1.14967,1.97558,"26420"
